"","SENTMON","SENTYR","SENSPLT0","GLMIN","TOTCHPTS","IS924C","WEAPSOC","STATMIN","CAROFFAP","ACCAP","SAFE","NEWCNVTN","PRESENT","MITROLHI","AGGROLHI","NEWRACE","MONSEX","AGE","EDUCATN","NEWCIT","SENTRNGE","reason","GDLINEHI","opafy"
"1","10","2017","172","188","25","0","0","60","1","0","0","0","1","0","0","1","0","46","21","0","7","500","2D1.1",2018
"2","10","2017","6","8","2","0","0","0","0","0","NA","0","1","0","0","3","0","45","6","1","3","48","2L1.2",2018
"3","10","2017","21","21","8","0","0","0","0","0","NA","0","1","0","0","3","0","23","6","1","0","","2K2.1",2018
"4","10","2017","1.95","6","1","0","0","0","0","0","NA","0","1","0","0","3","0","36","8","1","3","48","2L1.2",2018
"5","11","2017","12.03","12","0","0","0","0","0","0","NA","0","1","0","0","3","0","26","21","0","0","","2L1.1",2018
"6","11","2017","78","108","0","0","0","120","0","0","1","0","1","0","0","1","1","33","16","0","2","19","2D1.1",2018
"7","11","2017","14","21","3","0","0","0","0","0","NA","0","1","0","0","3","0","55","16","1","8","1209","2L1.1",2018
"8","11","2017","30","30","7","0","0","0","0","0","NA","0","1","0","0","3","0","35","0","1","0","48","2L1.2",2018
"9","11","2017","96","9996","9","0","0","9996","0","0","0","0","4","0","0","1","1","45","34","0","2","19","2D1.1",2018
"10","11","2017","32","32","2","0","0","24","0","0","NA","0","2","0","0","2","1","27","34","0","0","","2B1.1",2018
"11","11","2017","0.03","10","4","0","0","0","0","0","NA","0","1","0","0","3","0","33","12","1","8","61","2A3.5",2018
"12","11","2017","4","0","0","0","0","0","0","0","NA","0","1","-2","0","3","1","44","8","0","0","48","2L1.1",2018
"13","11","2017","14","12","0","0","0","0","0","0","NA","0","2","0","0","3","0","52","12","0","0","","2L1.1",2018
"14","11","2017","19","51","0","0","0","0","0","0","NA","0","2","0","0","3","0","66","34","0","2","19 11 17 61 685","2B1.1",2018
"15","10","2017","57","57","6","0","0","0","0","0","0","0","1","0","0","2","0","22","12","0","0","19","2D1.1",2018
"16","11","2017","18","24","7","0","0","0","0","0","NA","0","1","0","0","3","0","37","1","1","3","48","2L1.2",2018
"17","11","2017","120","120","0","0","0","120","0","0","0","0","1","0","3","3","0","28","12","0","0","","2D1.1",2018
"18","11","2017","0","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","47","NA","1","0","","2L1.2",2018
"19","11","2017","4.49","1","2","0","0","0","0","0","NA","0","1","0","0","3","0","48","10","1","0","","2L1.2",2018
"20","11","2017","72","188","13","0","0","60","0","0","0","0","2","0","0","6","0","33","34","0","5","1200 3 1206 17 61 686","2D1.1",2018
"21","11","2017","30","30","0","0","0","60","0","0","1","0","1","0","0","3","0","28","9","1","0","","2D1.1",2018
"22","11","2017","57","57","9","0","0","0","0","0","0","0","1","0","0","2","0","42","21","0","0","","2D1.1",2018
"23","11","2017","16","15","7","0","0","0","0","0","NA","0","1","0","0","3","0","44","9","1","0","","2L1.2",2018
"24","11","2017","0","0","1","0","0","0","0","0","NA","0","2","0","0","2","0","39","12","0","0","","2B1.1",2018
"25","11","2017","10","10","0","0","0","0","0","0","1","0","1","-2","0","3","0","39","12","1","0","","2D1.1",2018
"26","10","2017","3.49","6","0","0","0","0","0","0","1","0","1","-4","0","3","0","22","9","1","3","48","2D1.1",2018
"27","11","2017","30","30","6","0","0","0","0","0","NA","0","1","0","0","2","0","35","21","0","0","","2K2.1",2018
"28","11","2017","87","87","5","0","1","60","0","0","0","0","1","0","0","2","0","41","12","0","0","","2D1.1",2018
"29","11","2017","36","87","0","0","1","0","0","0","0","0","2","0","0","2","0","24","8","0","7","2 3 4 1206 60 61 62 650 826","2D1.1",2018
"30","11","2017","8","57","1","0","0","0","0","0","NA","0","2","0","0","1","0","46","16","0","2","19 1206 1206 17 18 60 61","2B1.1",2018
"31","11","2017","8","10","4","0","0","0","0","0","NA","0","1","0","0","3","0","23","2","1","3","48","2L1.2",2018
"32","11","2017","60","78","3","0","1","0","0","0","NA","0","1","0","0","2","0","31","11","0","8","2 1206 1209","2B3.1",2018
"33","11","2017","4","12","2","0","0","0","0","0","0","0","2","0","0","1","0","23","12","0","8","11 60 61 676 650 831","2D1.1",2018
"34","11","2017","72","81","16","0","0","24","0","0","NA","0","1","0","4","3","0","42","21","0","4","500","2B1.1",2018
"35","11","2017","30","37","6","0","0","0","0","0","NA","0","1","0","0","2","0","20","12","0","2","19","2K2.1",2018
"36","11","2017","70","108","0","0","0","120","0","0","1","0","1","0","0","3","0","43","12","0","2","19","2D1.1",2018
"37","10","2017","5.69","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","24","0","1","0","","2L1.2",2018
"38","11","2017","18","24","3","0","0","0","0","0","0","0","1","0","0","3","0","40","7","1","8","2 3 60 61","2X4.1",2018
"39","11","2017","60","60","0","0","0","0","0","0","0","0","1","0","0","3","0","26","34","0","0","","2D1.1",2018
"40","11","2017","36","46","0","0","0","0","0","0","NA","0","2","0","0","1","0","52","24","0","8","2 60 61","2B1.1",2018
"41","11","2017","18","18","5","0","0","0","0","0","0","0","2","0","0","2","0","34","21","0","0","","2D1.1",2018
"42","11","2017","27","37","9","0","0","0","0","0","NA","0","1","0","0","3","0","29","6","1","3","48 2 3 870","2L1.2",2018
"43","11","2017","79","77","16","0","0","0","0","0","NA","0","1","0","0","1","0","39","21","0","0","","2K2.1",2018
"44","11","2017","72","151","0","0","0","60","0","0","NA","0","1","0","0","1","0","39","23","0","7","60 61","2G2.2",2018
"45","11","2017","84","70","11","0","1","0","0","0","NA","0","1","0","0","1","0","39","12","0","0","","2A2.2",2018
"46","11","2017","87","108","0","0","0","120","0","0","1","0","1","0","0","3","0","38","11","1","2","19","2D1.1",2018
"47","11","2017","13.03","15","2","0","0","0","0","0","0","0","1","0","0","3","0","21","6","1","7","1206 11","2D1.1",2018
"48","10","2017","16","10","6","0","0","0","0","0","NA","0","1","0","0","3","0","39","21","0","0","","2K2.1",2018
"49","11","2017","60","151","8","0","0","0","1","0","0","0","1","0","0","1","0","58","11","0","8","11 1200 61 1200","2D1.1",2018
"50","11","2017","96","96","8","0","0","0","1","0","0","0","1","0","4","2","0","39","16","0","0","","2D1.1",2018
"51","11","2017","40","46","6","0","0","0","0","0","0","0","1","0","0","2","0","32","11","1","8","2 3 4 1206 60 61 62","2D1.1",2018
"52","11","2017","240","120","2","0","1","120","0","0","NA","0","1","0","0","2","0","19","11","0","6","2 60 61 1200 703 777 777","2B3.1",2018
"53","11","2017","60","262","11","1","NA","60","1","0","NA","0","1","NA","NA","2","0","28","12","0","0","500","NA",2018
"54","11","2017","1","0","1","0","0","0","0","0","NA","0","1","0","0","3","0","33","9","1","0","","2L1.2",2018
"55","11","2017","7","15","3","0","0","0","0","0","NA","0","1","0","0","3","0","32","4","1","3","48","2L1.2",2018
"56","11","2017","48","48","0","0","0","0","0","0","0","0","2","0","0","2","0","50","34","0","0","","2D1.1",2018
"57","11","2017","62","120","5","0","0","120","0","0","0","0","1","0","0","1","0","52","10","0","2","19","2D1.1",2018
"58","11","2017","1.43","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","39","12","1","0","","2L1.2",2018
"59","10","2017","1.28","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","32","2","1","0","","2L1.2",2018
"60","11","2017","60","60","5","0","0","60","0","0","0","0","1","0","0","3","0","39","12","1","0","","2D1.1",2018
"61","11","2017","4.26","10","6","0","0","0","0","0","NA","0","1","0","0","3","0","28","10","1","3","48","2L1.2",2018
"62","11","2017","10","15","3","0","0","0","0","0","NA","0","1","0","0","3","0","34","12","1","3","48","2L1.2",2018
"63","11","2017","2.1","60","5","0","0","60","0","0","0","0","3","-2","0","3","1","34","0","0","2","19","2D1.1",2018
"64","11","2017","0","21","0","0","0","0","0","0","0","0","2","0","0","3","1","26","22","0","5","17 703","2X4.1",2018
"65","11","2017","15","21","3","0","0","0","0","0","NA","0","1","0","0","3","0","42","9","1","3","48","2L1.2",2018
"66","11","2017","151","151","4","0","0","0","0","0","NA","0","1","0","0","2","0","25","21","0","0","","2A2.1",2018
"67","11","2017","0","46","6","0","0","0","0","0","0","0","3","0","0","1","0","24","12","0","2","11 1211 19 761","2D1.1",2018
"68","11","2017","37","33","3","0","0","0","0","0","NA","0","1","0","0","1","0","45","34","0","0","","2B3.1",2018
"69","11","2017","27","24","6","0","1","0","0","0","0","0","1","0","0","2","0","33","21","0","0","","2D1.1",2018
"70","10","2017","46","57","0","0","0","0","0","0","NA","0","2","0","0","6","0","50","34","0","2","19","2S1.1",2018
"71","11","2017","21","21","12","0","0","0","0","0","NA","0","1","0","0","3","0","42","0","1","0","","2L1.2",2018
"72","11","2017","4","0","1","0","0","0","0","0","NA","0","1","0","0","3","0","55","0","1","0","","2L1.2",2018
"73","11","2017","4","8","3","0","0","0","0","0","NA","0","1","0","0","3","0","35","9","1","3","48","2L1.2",2018
"74","11","2017","2.49","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","44","6","1","0","","2L2.2",2018
"75","11","2017","0","24","0","0","0","0","0","0","NA","0","3","0","0","1","0","78","12","0","8","2 3 1206 7 11 14 61 1200 650 673 1205","2B1.1",2018
"76","11","2017","108","168","4","0","0","0","0","0","NA","0","1","0","3","2","0","27","12","0","4","500","2A2.1",2018
"77","11","2017","108","108","2","0","0","0","0","0","NA","0","1","0","0","2","0","24","10","0","0","","2A2.1",2018
"78","11","2017","3.92","0","1","0","0","0","0","0","NA","0","1","0","0","3","1","24","9","0","0","","2B1.1",2018
"79","11","2017","55","46","0","0","0","0","0","0","NA","0","1","0","0","3","0","24","21","0","0","","2L1.1",2018
"80","11","2017","0.85","0","1","0","0","0","0","0","NA","0","1","0","0","3","0","35","31","1","0","","2L1.2",2018
"81","10","2017","40","46","12","0","0","0","0","0","NA","0","1","0","0","3","0","46","0","1","3","48","2L1.2",2018
"82","11","2017","96","77","10","0","1","0","1","0","NA","0","1","0","0","3","0","36","9","0","0","","2A2.2",2018
"83","11","2017","3","18","4","0","0","0","0","0","NA","0","3","0","0","1","1","44","23","0","8","2 3 1206 11 15 16 17 61 63 64 831","2B5.1",2018
"84","11","2017","100","168","1","0","0","120","0","0","1","0","1","0","0","3","1","33","6","1","2","19","2D1.1",2018
"85","11","2017","3.58","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","25","6","1","0","","2L1.2",2018
"86","11","2017","60","NA","11","1","NA","60","NA","NA","NA","0","1","NA","NA","1","0","33","21","0","0","","NA",2018
"87","11","2017","24","41","2","0","0","0","0","0","0","0","1","0","0","3","0","28","2","1","3","48 3 1206 61","2D1.1",2018
"88","11","2017","46","77","8","0","0","0","0","0","NA","0","1","0","0","3","0","35","11","1","4","500","2K2.1",2018
"89","11","2017","2.13","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","18","6","1","0","","2L1.2",2018
"90","11","2017","12.03","18","3","0","0","0","0","0","0","0","1","0","0","1","0","30","12","1","8","3 15 60 61 62 650","2X4.1",2018
"91","11","2017","37","46","6","0","0","0","0","0","NA","0","2","0","0","3","0","26","12","0","5","1200 1200 1200 1200","2K2.1",2018
"92","10","2017","36","41","4","0","0","0","0","0","NA","1","1","0","0","6","0","41","34","1","8","2 3 4 1211 16 55 61 62 64 826 847","2A6.1",2018
"93","11","2017","262","262","9","0","0","120","1","0","0","0","1","0","0","2","0","46","21","0","0","","2D1.1",2018
"94","11","2017","5.85","8","8","0","0","0","0","0","NA","0","1","0","0","1","0","60","21","0","2","19","2P1.1",2018
"95","11","2017","9.2","8","3","0","0","0","0","0","NA","0","1","0","0","3","0","29","NA","1","0","","2L1.2",2018
"96","11","2017","54","78","0","0","0","0","0","0","NA","0","2","0","0","1","0","61","22","0","8","61 676 1209","2G2.2",2018
"97","11","2017","2","12","0","0","0","0","0","0","NA","0","2","0","0","3","0","24","12","0","2","19","2K2.1",2018
"98","11","2017","21","30","0","0","0","60","0","0","1","0","1","0","0","1","0","47","16","0","2","19","2D1.1",2018
"99","11","2017","9","37","7","0","1","0","0","0","0","0","3","0","0","1","0","33","21","0","4","52","2D1.1",2018
"100","11","2017","9.46","6","0","0","0","0","0","0","NA","0","1","0","0","1","0","36","16","1","0","","2L1.1",2018
"101","11","2017","60","188","13","0","0","60","0","0","0","0","2","0","0","1","0","49","21","0","4","52 60 61","2D1.1",2018
"102","11","2017","1.97","2","6","0","0","0","0","0","NA","0","1","0","0","3","0","30","6","1","0","48","2L1.2",2018
"103","10","2017","1.22","0","0","0","0","0","0","0","NA","0","1","0","0","3","1","33","12","1","0","","2L1.2",2018
"104","11","2017","60","100","10","0","0","0","0","0","NA","0","1","0","0","2","0","26","21","0","8","60 61","2K2.1",2018
"105","11","2017","3.62","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","20","0","1","0","","2L1.2",2018
"106","11","2017","0.85","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","38","0","1","0","","2L1.2",2018
"107","11","2017","37","30","7","0","0","0","0","0","NA","0","1","0","0","3","0","38","31","1","0","","2L1.2",2018
"108","11","2017","5.32","1","3","0","0","0","0","0","NA","0","1","0","0","3","0","45","0","1","0","","2L1.2",2018
