"","SENTMON","SENTYR","SENSPLT0","GLMIN","TOTCHPTS","IS924C","WEAPSOC","STATMIN","CAROFFAP","ACCAP","SAFE","NEWCNVTN","PRESENT","MITROLHI","AGGROLHI","NEWRACE","MONSEX","AGE","EDUCATN","NEWCIT","SENTRNGE","reason","GDLINEHI","opafy"
"1","10","2018","30","30","0","0","0","60","0","0","1","0","1","0","0","3","0","34","6","1","0","","2D1.1",2019
"2","10","2018","46","41","17","0","0","0","0","0","NA","0","1","0","0","2","0","35","11","0","0","","2K2.1",2019
"3","10","2018","72","NA","2","0","NA","NA","NA","NA","NA","0","1","NA","NA","6","0","44","23","0","NA","","NA",2019
"4","10","2018","37","46","6","0","0","0","0","0","0","0","1","0","0","1","1","37","22","0","8","2 3 4 1206 14 15 16 17 61 676 831","2D1.1",2019
"5","11","2018","4","8","2","0","0","0","0","0","NA","0","1","0","0","3","0","33","9","1","3","48","2L1.2",2019
"6","11","2018","6.9","8","2","0","0","0","0","0","NA","0","1","0","0","3","0","32","6","1","3","48","2L1.2",2019
"7","11","2018","1.58","1","2","0","0","0","0","0","NA","0","1","0","0","3","0","26","6","1","0","","2L1.2",2019
"8","11","2018","151","151","12","0","0","0","1","0","0","0","1","0","0","2","0","44","21","0","0","","2D1.1",2019
"9","11","2018","0","6","0","0","0","0","0","0","NA","0","2","0","0","2","1","64","34","0","2","19","2B1.1",2019
"10","11","2018","108","151","10","0","1","0","1","0","0","0","1","0","0","2","0","43","21","0","8","2 3 4 60","2D1.1",2019
"11","11","2018","18","15","14","0","0","0","0","0","NA","0","1","0","0","1","0","51","34","0","0","","2P1.1",2019
"12","11","2018","0.99","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","18","8","1","0","","2L1.2",2019
"13","11","2018","6","6","1","0","0","0","0","0","NA","0","1","0","0","3","1","41","9","1","0","","2L1.2",2019
"14","11","2018","1.07","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","21","32","1","0","","2L2.2",2019
"15","10","2018","41","41","3","0","0","0","0","0","NA","0","1","0","0","3","0","38","12","1","0","","2B3.1",2019
"16","11","2018","1.56","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","57","6","1","0","","2L1.2",2019
"17","11","2018","1.08","0","1","0","0","0","0","0","NA","0","1","0","0","3","0","23","6","1","0","","2L1.2",2019
"18","11","2018","121","135","4","0","0","120","0","0","NA","0","1","0","0","2","0","26","12","0","7","500","2G1.3",2019
"19","11","2018","240","235","9","0","0","0","0","0","NA","0","1","0","0","6","1","40","23","0","0","","2A1.2",2019
"20","11","2018","8","18","6","0","0","0","0","0","NA","0","1","0","0","3","0","43","6","1","3","48","2L1.2",2019
"21","11","2018","0.95","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","35","9","1","0","","2L1.2",2019
"22","11","2018","1.18","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","23","3","1","0","","2L1.2",2019
"23","11","2018","12","12","6","0","0","0","0","0","NA","1","2","0","0","2","0","26","21","0","0","","2A2.4",2019
"24","11","2018","1.81","0","1","0","0","0","0","0","NA","0","1","0","0","3","0","39","6","1","0","","2L1.2",2019
"25","11","2018","27","41","0","0","0","0","0","0","NA","0","1","0","0","3","1","33","6","1","3","48","2L1.1",2019
"26","10","2018","0.89","0","1","0","0","0","0","0","NA","0","1","0","0","3","0","27","6","1","0","","2L1.2",2019
"27","11","2018","24","46","6","0","0","0","0","0","NA","0","1","0","0","1","1","40","10","0","2","19 2 60 61 650 696","2K2.1",2019
"28","11","2018","2.04","0","1","0","0","0","0","0","NA","0","1","0","0","3","0","37","9","1","0","48","2L1.2",2019
"29","11","2018","15","24","7","0","0","0","0","0","NA","0","1","0","0","3","0","44","4","1","3","48","2L1.2",2019
"30","11","2018","0.03","0","NA","0","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","23","NA","NA","0","","NA",2019
"31","11","2018","140","140","11","0","0","0","0","0","NA","0","1","0","0","3","0","22","12","0","0","","2K2.1",2019
"32","11","2018","15","15","6","0","0","0","0","0","NA","0","1","0","0","1","0","59","10","0","0","","2A3.5",2019
"33","11","2018","6","4","3","0","0","0","0","0","NA","0","2","0","0","1","1","50","34","0","0","","2D2.2",2019
"34","11","2018","0","4","0","0","0","0","0","0","NA","0","3","0","0","1","1","33","34","0","8","1205","2B1.1",2019
"35","11","2018","0","4","0","0","0","0","0","0","NA","0","3","0","0","2","0","32","24","0","8","1205","2B1.1",2019
"36","11","2018","36","33","0","0","0","0","0","0","NA","0","1","0","0","6","0","24","10","0","0","","2A3.2",2019
"37","10","2018","60","70","0","0","0","120","0","0","1","0","1","-2","0","3","1","30","6","1","8","2 3 4 17 1200 61 1200 1205","2D1.1",2019
"38","11","2018","78","135","0","0","1","120","0","0","0","0","1","0","0","1","1","55","34","0","2","19","2D1.1",2019
"39","11","2018","24","77","8","0","0","0","0","0","NA","0","2","0","0","2","0","31","34","0","8","2 3 4 15 16 17 18 1200 60 61 676 1200 703 777","2K2.1",2019
"40","11","2018","0","8","1","0","0","0","0","0","NA","0","2","0","0","1","1","31","12","0","8","12 18 44 61","2A2.4",2019
"41","11","2018","135","135","0","0","0","120","0","0","NA","0","1","0","0","1","0","24","12","0","0","","2G2.1",2019
"42","11","2018","6.44","168","10","0","0","120","0","0","0","0","2","0","0","3","0","38","10","0","2","19 48","2D1.1",2019
"43","11","2018","49","46","9","0","0","0","0","0","NA","0","1","0","0","2","0","28","21","0","0","","2K2.1",2019
"44","11","2018","9.89","6","0","0","0","0","0","0","1","0","1","-2","0","3","0","18","9","0","0","2 3 4 11 1200 61 1200 1205 828","2D1.1",2019
"45","10","2018","24","51","0","0","0","120","0","0","1","0","1","-2","0","3","0","30","6","1","8","1206 17 18 650 673 826 831","2D1.1",2019
"46","10","2018","57","57","7","0","0","0","0","0","0","0","1","0","0","2","0","33","34","0","0","","2D1.1",2019
"47","10","2018","60","60","5","0","1","60","0","0","0","0","1","0","0","2","0","37","10","0","0","","2D1.1",2019
"48","10","2018","12.03","12","0","0","0","0","0","0","1","0","1","-2","0","3","0","19","12","0","0","","2D1.1",2019
"49","10","2018","60","NA","0","1","NA","60","NA","NA","NA","0","1","NA","NA","3","0","25","21","0","0","","NA",2019
"50","10","2018","0.03","355","10","1","0","120","1","0","NA","0","1","0","0","2","0","28","10","0","2","19","2A2.1",2019
"51","10","2018","6","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","0","25","NA","1","0","","NA",2019
"52","10","2018","60","60","25","0","1","0","1","0","NA","0","1","0","0","1","0","62","21","0","0","","2B3.1",2019
"53","10","2018","12","15","18","0","0","0","0","0","NA","0","2","0","0","2","0","30","9","0","8","2 3 4 1206 7 1209 61 676 668 673 831","2B1.1",2019
"54","10","2018","28","37","0","0","0","0","0","0","NA","0","1","0","0","3","0","23","12","1","2","19","2B1.1",2019
"55","10","2018","6","24","0","0","0","0","0","0","NA","0","2","0","0","2","0","49","12","0","8","2 3 60 61","2T1.1",2019
"56","10","2018","48","70","1","0","0","120","0","0","1","0","1","0","0","1","0","43","23","0","2","19","2D1.1",2019
"57","10","2018","30","30","0","0","0","0","0","0","NA","0","1","-2","0","3","0","31","12","1","0","","2B1.1",2019
"58","10","2018","5.91","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","0","33","NA","1","0","","NA",2019
"59","10","2018","6","6","0","0","0","0","0","0","1","0","1","-2","0","3","0","22","34","1","0","","2D1.1",2019
"60","10","2018","1.74","0","0","0","0","0","0","0","NA","0","2","-2","0","3","1","20","12","1","0","","2B1.1",2019
"61","10","2018","1.36","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","48","12","1","0","","2L1.2",2019
"62","10","2018","3.16","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","1","19","NA","1","0","","NA",2019
"63","10","2018","57","57","1","0","0","60","0","0","1","0","1","0","0","3","0","26","11","1","0","","2D1.1",2019
"64","10","2018","1.26","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","32","12","1","0","","2L1.2",2019
"65","10","2018","78","70","0","0","0","120","0","0","1","0","1","0","0","3","0","32","12","0","0","","2D1.1",2019
"66","10","2018","24","37","6","0","0","0","0","0","NA","0","1","0","0","3","0","32","11","1","8","2 3 54 60 61 1200","2L1.2",2019
"67","11","2018","18","46","6","0","0","0","0","0","NA","0","1","0","0","3","0","53","9","1","8","11 17 668 826","2L1.2",2019
"68","10","2018","60","NA","15","1","NA","60","NA","NA","NA","0","1","NA","NA","2","0","31","10","0","0","","NA",2019
"69","10","2018","120","120","12","0","0","120","0","0","0","0","1","0","0","2","0","37","11","0","0","","2D1.1",2019
"70","10","2018","33","151","6","0","0","0","1","0","NA","0","1","0","0","2","0","24","11","0","8","2 3 1211 15 60 61 62 64 650 668 673 831","2E1.1",2019
"71","11","2018","60","70","0","0","0","120","0","0","1","0","1","0","0","3","0","54","37","1","8","2 3 4 11 16 17 18 60 61 650 668 673 826 831 835","2D1.1",2019
"72","11","2018","6","6","3","0","0","0","0","0","NA","0","1","0","0","3","1","23","12","1","0","","2J1.6",2019
"73","11","2018","0.03","180","1","0","0","180","0","0","0","0","2","0","0","2","0","35","34","0","2","19","2D1.1",2019
"74","10","2018","66","87","0","0","0","0","0","0","NA","1","1","0","0","1","0","62","24","0","8","1206","2B1.1",2019
"75","11","2018","120","135","7","0","1","0","0","0","NA","0","1","0","0","3","0","37","9","0","8","747","2B3.1",2019
"76","11","2018","33","33","6","0","0","0","0","0","NA","0","1","0","0","3","0","44","37","1","0","","2L1.2",2019
"77","10","2018","4","4","0","0","0","0","0","0","NA","0","2","0","0","3","0","20","32","1","0","","2B1.1",2019
"78","11","2018","7","21","0","0","0","0","0","0","NA","0","2","-2","0","1","0","33","24","0","8","2 3 4 1206 7 60 61 62 64 650 673 686 1205","2B1.1",2019
"79","11","2018","151","188","12","0","1","0","1","0","0","0","1","0","4","2","0","24","9","0","5","47","2D1.1",2019
"80","11","2018","96","151","7","0","1","60","0","0","0","0","1","0","0","3","0","46","8","1","4","500","2D1.1",2019
"81","10","2018","30","41","0","0","0","0","0","0","NA","0","2","0","0","1","0","45","34","0","2","19","2B1.1",2019
"82","11","2018","46","46","0","0","0","0","0","0","NA","0","1","0","0","1","0","34","12","0","0","","2S1.1",2019
"83","11","2018","0.03","10","0","0","1","0","0","0","0","0","2","0","0","1","0","40","16","0","2","19","2K1.3",2019
"84","11","2018","60","NA","4","1","NA","60","NA","NA","NA","0","1","NA","NA","3","0","25","11","0","0","","NA",2019
"85","11","2018","8","6","0","0","0","0","0","0","NA","0","2","0","0","1","1","61","24","0","0","","2T1.1",2019
"86","11","2018","120","130","10","1","0","60","0","0","NA","0","1","0","0","3","0","33","8","0","8","16 17 686","2B3.1",2019
"87","11","2018","0","0","0","0","0","0","0","0","NA","0","2","0","0","3","0","19","11","0","0","","2D2.1",2019
"88","11","2018","2.6","8","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","0","34","NA","0","3","48 703 777","NA",2019
"89","11","2018","33","41","0","0","0","0","0","0","NA","0","1","0","0","3","1","46","23","0","2","19","2L1.1",2019
"90","11","2018","6","18","6","0","0","0","0","0","NA","0","NA","0","0","NA","0","40","NA","1","3","48","2L1.2",2019
"91","11","2018","10","10","6","0","0","0","0","0","NA","0","1","0","0","3","0","47","5","1","0","","2L1.2",2019
"92","10","2018","180","360","8","1","0","120","1","0","0","1","1","0","0","3","0","27","8","0","8","3 4 61 113 1200 313 673 826","2D1.1",2019
"93","11","2018","0.03","1","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","0","51","NA","1","0","","NA",2019
"94","11","2018","125","140","10","0","0","60","0","0","0","0","1","0","0","2","0","37","21","0","7","777","2D1.1",2019
"95","11","2018","120","120","2","0","0","120","0","0","0","0","1","0","0","1","0","24","12","0","0","","2D1.1",2019
"96","11","2018","0.03","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","1","40","NA","1","0","48","NA",2019
"97","11","2018","1.26","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","22","11","1","0","","2L1.2",2019
"98","11","2018","12.03","51","0","0","0","0","0","0","NA","0","2","0","0","2","1","46","16","0","8","2 3 4 1206 7 17 61","2B1.1",2019
"99","11","2018","21","51","0","0","0","120","0","0","1","0","1","-2","0","3","0","26","12","1","3","11 48 1200 703 823 846 859","2D1.1",2019
"100","11","2018","51","41","14","0","0","0","0","0","NA","0","1","0","0","3","0","40","21","1","0","","2L1.2",2019
"101","11","2018","0.03","0","NA","0","NA","NA","NA","NA","NA","0","NA","NA","NA","3","0","35","NA","1","0","","NA",2019
"102","11","2018","83","151","8","0","0","0","1","0","0","0","1","0","0","2","0","37","11","0","2","19","2D1.1",2019
"103","10","2018","0.1","1","2","0","0","0","0","0","NA","0","2","0","0","3","0","48","9","1","3","48","2L1.2",2019
"104","11","2018","12","10","6","0","0","0","0","0","NA","0","1","0","0","3","0","28","9","1","0","48","2L1.2",2019
"105","11","2018","27","27","11","0","0","0","0","0","NA","0","1","0","0","1","0","27","10","0","0","","2K2.1",2019
"106","11","2018","60","NA","6","1","NA","60","NA","NA","NA","0","1","NA","NA","2","0","25","11","0","0","","NA",2019
"107","11","2018","27","21","9","0","0","0","0","0","NA","0","1","0","0","2","0","44","12","0","0","","2K2.1",2019
"108","11","2018","4.03","12","0","0","0","0","0","0","NA","0","1","0","0","3","1","30","23","0","3","48 17 1200","2L1.1",2019
"109","11","2018","108","108","0","0","1","0","0","0","0","0","1","0","0","3","0","27","11","0","0","","2K2.1",2019
"110","11","2018","24","37","0","0","0","0","0","0","NA","0","2","0","0","1","0","59","12","0","2","19 2 3 14 61","2C1.1",2019
"111","11","2018","10","15","6","0","0","0","0","0","NA","0","1","0","0","3","0","29","6","1","3","48","2L2.2",2019
"112","11","2018","120","121","2","0","0","120","0","0","0","0","1","0","0","2","0","44","9","0","8","2 3 4 61 777","2D1.1",2019
"113","11","2018","3.13","1","2","0","0","0","0","0","NA","0","1","0","0","3","0","46","NA","1","0","","2L1.2",2019
"114","10","2018","0","0","NA","0","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","1","19","NA","NA","0","","NA",2019
"115","10","2018","63","63","3","0","0","0","0","0","0","0","1","0","0","2","0","30","34","0","0","","2D1.1",2019
"116","11","2018","37","37","8","0","0","0","0","0","NA","0","1","0","0","2","0","24","12","0","0","","2K2.1",2019
"117","11","2018","63","70","8","0","0","60","0","0","0","0","1","0","0","2","0","42","11","0","8","15 676 826","2D1.1",2019
"118","11","2018","0.03","NA","NA","0","NA","NA","NA","NA","NA","0","1","NA","NA","3","0","30","NA","1","0","","NA",2019
"119","11","2018","151","151","10","0","1","0","1","0","0","0","1","0","0","2","0","49","21","0","0","","2D1.1",2019
"120","11","2018","6","9","10","0","0","0","0","0","NA","0","2","0","0","2","0","40","21","0","8","17 61","2B1.1",2019
"121","11","2018","24","41","6","0","0","0","0","0","NA","0","1","0","0","3","0","65","4","1","4","703 1 2 3 11 14 17 833","2L1.2",2019
"122","11","2018","117","235","0","0","0","120","0","0","0","0","1","0","3","3","0","41","34","1","2","19 61 1200 1209 831","2D1.1",2019
"123","11","2018","0","15","2","0","0","0","0","0","0","0","2","0","0","2","0","28","12","0","7","2 3 4 17 1200 61 1200","2D1.1",2019
"124","11","2018","24","18","0","0","0","0","0","0","NA","0","2","0","0","2","0","45","12","1","0","","2B1.1",2019
"125","11","2018","1.36","6","1","0","0","0","0","0","NA","0","1","0","0","3","0","22","6","1","3","48","2L1.2",2019
"126","10","2018","18","15","3","0","1","0","0","0","NA","0","1","0","0","1","0","32","10","0","0","","2B1.1",2019
"127","11","2018","54","75","0","0","0","24","0","0","NA","0","1","0","3","1","1","25","7","1","7","2 3 4 652 668 831","2B1.1",2019
"128","11","2018","36","63","3","0","0","0","0","0","0","0","1","0","0","1","1","42","34","0","3","48 2 1206 15","2D1.1",2019
"129","11","2018","51","51","0","0","0","120","0","0","1","0","1","-2","0","3","0","32","9","1","0","","2D1.1",2019
"130","11","2018","0","0","1","0","0","0","0","0","NA","0","2","-2","0","2","1","36","34","0","0","","2B1.1",2019
"131","11","2018","120","140","10","0","0","0","0","0","0","0","1","0","4","2","0","28","21","0","8","1206","2D1.1",2019
"132","11","2018","15","18","0","0","1","0","0","0","NA","0","3","0","0","3","0","32","11","0","3","48","2L1.1",2019
"133","11","2018","12.03","57","1","0","0","0","0","0","1","0","3","0","0","1","0","30","34","0","2","19 1206 61 676 686","2D1.1",2019
"134","11","2018","21","30","0","0","0","60","0","0","1","0","2","0","0","3","0","43","6","1","8","17 1200 61 652 1200","2D1.1",2019
"135","11","2018","24","108","0","0","1","0","0","0","0","0","2","0","0","1","0","42","34","0","2","19 14 60 61 63","2D1.1",2019
"136","11","2018","8","6","0","0","0","0","0","0","NA","0","1","0","0","3","0","19","7","1","0","","2L1.1",2019
"137","10","2018","6","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","39","5","1","0","","2L1.2",2019
"138","11","2018","6","6","0","0","0","0","0","0","NA","0","1","0","0","3","1","50","34","1","0","","2L2.2",2019
"139","11","2018","18","37","9","0","0","0","0","0","NA","0","1","0","0","3","0","37","11","1","2","19 3 17 61 870","2L1.2",2019
"140","11","2018","24","18","4","0","0","0","0","0","NA","0","1","0","0","3","0","43","4","1","0","","2L1.1",2019
"141","11","2018","27","30","1","0","0","60","0","0","1","0","1","0","0","2","0","40","22","0","2","19","2D1.1",2019
"142","11","2018","3.68","1","2","0","0","0","0","0","NA","0","1","0","0","3","0","37","6","1","0","","2L1.2",2019
"143","11","2018","21","21","3","0","0","0","0","0","NA","0","1","0","0","3","0","30","8","1","0","","2L1.2",2019
"144","11","2018","41","70","0","0","0","120","0","0","1","0","1","0","0","3","0","35","12","1","2","19 2 3 4 1206 7 62 63 64 673 1205","2D1.1",2019
"145","11","2018","0","24","4","0","0","0","0","0","NA","0","3","0","0","1","0","26","12","0","3","48 1211 15 686","2L1.1",2019
"146","11","2018","0.03","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","0","22","NA","1","0","","NA",2019
"147","11","2018","5.55","10","4","0","0","0","0","0","NA","0","1","0","0","3","0","19","11","1","7","11 61 649 828 1212","2L1.2",2019
"148","10","2018","480","600","0","0","0","180","0","0","NA","0","1","0","0","1","0","37","12","0","8","1205","2G2.1",2019
"149","11","2018","6","10","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","0","32","NA","1","3","48","NA",2019
"150","11","2018","16","12","3","0","0","0","0","0","NA","0","1","0","0","2","0","29","34","0","0","","2K2.1",2019
"151","11","2018","310","384","6","1","0","180","0","0","0","0","1","0","4","1","0","34","24","0","7","500","2D1.1",2019
"152","11","2018","1.56","0","1","0","0","0","0","0","NA","0","1","0","0","3","0","28","9","1","0","","2L1.2",2019
"153","11","2018","120","70","0","0","0","120","0","0","1","0","2","-2","0","3","0","31","3","1","0","","2D1.1",2019
"154","11","2018","1.62","0","1","0","0","0","0","0","NA","0","1","0","0","3","0","23","NA","1","0","","2L1.2",2019
"155","11","2018","10","15","9","0","0","0","0","0","NA","0","1","0","0","3","0","37","11","1","3","48","2L1.2",2019
"156","11","2018","120","70","0","0","0","120","0","0","1","0","1","-2","0","3","0","36","12","1","0","","2D1.1",2019
"157","11","2018","1.3","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","39","1","1","0","","2L1.2",2019
"158","11","2018","10","10","6","0","0","0","0","0","NA","0","1","0","0","3","0","28","9","1","0","","2L1.2",2019
"159","10","2018","24","33","5","0","0","0","0","0","NA","0","1","0","0","3","0","30","21","0","8","1211 61 676 826","2S1.1",2019
"160","11","2018","6","6","0","0","0","0","0","0","NA","0","2","0","0","1","0","54","34","0","0","","2B1.1",2019
"161","11","2018","0","15","3","0","0","0","0","0","NA","0","2","0","0","1","0","26","34","0","7","11 1211 16 17 61","2B1.1",2019
"162","11","2018","97","168","0","0","1","0","0","0","0","0","1","0","2","1","0","34","23","1","2","19","2D1.1",2019
"163","11","2018","120","70","0","0","0","120","0","0","1","0","1","-2","0","3","0","32","9","1","0","","2D1.1",2019
"164","11","2018","6.62","10","0","0","0","0","0","0","1","0","1","-2","0","3","1","20","10","1","8","2 3 4 11 1200 61 1200 1205","2D1.1",2019
"165","11","2018","18","18","3","0","0","0","0","0","NA","0","1","0","0","2","0","31","12","0","0","","2K2.1",2019
"166","11","2018","120","120","7","0","0","0","0","0","NA","0","2","0","0","2","0","22","10","0","0","","2K2.1",2019
"167","11","2018","240","292","22","0","0","0","0","0","NA","0","1","0","0","1","0","34","21","0","8","60 61 650","2A4.1",2019
"168","11","2018","12.03","57","1","0","1","60","0","0","1","0","3","0","0","2","0","33","34","0","8","15 16 61","2D1.1",2019
"169","11","2018","5","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","43","34","1","0","","2L1.2",2019
"170","10","2018","63","135","9","0","1","60","0","0","0","0","1","0","3","2","0","27","12","0","8","2 3 4 1206 60 61 115","2D1.1",2019
"171","11","2018","12.03","18","0","0","0","0","0","0","NA","0","2","0","0","1","1","57","12","0","2","19","2B1.1",2019
"172","11","2018","120","120","6","0","1","120","0","0","0","0","1","0","0","2","0","24","11","0","0","","2D1.1",2019
"173","11","2018","5.95","6","1","0","0","0","0","0","NA","0","1","0","0","3","0","32","8","1","0","2 3 4 1200 61 828","2L1.2",2019
"174","11","2018","2.72","0","0","0","0","0","0","0","NA","0","1","0","0","6","0","19","12","1","0","","2A5.2",2019
"175","11","2018","1.26","0","1","0","0","0","0","0","NA","0","1","0","0","3","0","25","3","1","0","","2L1.2",2019
"176","11","2018","168","224","12","1","0","84","0","0","NA","1","1","0","0","2","0","32","9","0","8","2 3 4 1206 11 1200 60 61 650 1200 826 831","2K2.1",2019
"177","11","2018","10.03","8","2","0","0","0","0","0","NA","0","1","0","0","3","0","54","8","1","0","","2L1.2",2019
"178","11","2018","77","77","13","0","0","0","0","0","0","0","1","0","0","2","0","31","11","0","0","","2D1.1",2019
"179","11","2018","135","135","0","0","0","120","0","0","1","0","1","0","0","3","0","34","1","1","0","","2D1.1",2019
"180","11","2018","30","30","6","0","0","0","0","0","NA","0","1","0","0","2","0","23","12","0","0","","2K2.1",2019
"181","10","2018","8.6","18","0","0","0","0","0","0","NA","0","1","0","0","3","1","25","10","0","8","1209 1200 61 1200","2L1.1",2019
"182","11","2018","18","21","10","0","0","0","0","0","NA","0","1","0","0","3","0","48","4","1","3","48","2L1.2",2019
"183","11","2018","90","90","13","1","0","60","0","0","0","0","1","0","0","1","0","27","12","0","0","","2D1.1",2019
"184","11","2018","84","97","1","1","0","60","0","0","0","0","1","0","0","2","0","23","12","0","8","313","2D1.1",2019
"185","11","2018","190","168","1","0","1","0","0","0","0","0","1","0","0","3","0","21","12","0","0","","2D1.1",2019
"186","11","2018","120","120","2","0","0","120","0","0","0","0","1","0","2","3","0","34","12","0","0","","2D1.1",2019
"187","11","2018","60","NA","13","1","NA","60","NA","NA","NA","0","1","NA","NA","2","0","29","11","0","0","","NA",2019
"188","11","2018","87","87","10","1","0","60","0","0","0","0","1","0","0","2","0","25","11","0","0","","2D1.1",2019
"189","11","2018","5","10","0","0","0","0","0","0","NA","0","2","0","0","2","0","45","34","0","8","2 3 18 1213 61","2T1.1",2019
"190","11","2018","7.1","10","4","0","0","0","0","0","NA","0","1","0","0","3","0","62","6","1","3","48","2L1.2",2019
"191","11","2018","18","15","10","0","0","0","0","0","NA","0","1","0","0","3","1","20","12","0","0","","2B1.1",2019
"192","10","2018","84","168","11","0","0","120","0","0","0","0","1","0","0","1","0","33","34","0","2","19","2D1.1",2019
"193","11","2018","135","135","0","0","0","120","0","0","1","0","1","0","0","3","0","44","6","1","0","","2D1.1",2019
"194","11","2018","97","168","0","0","0","0","0","0","0","0","1","0","2","6","0","38","16","0","2","19","2D1.1",2019
"195","11","2018","0.03","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","34","9","1","0","","2L1.2",2019
"196","11","2018","2.49","6","1","0","0","0","0","0","NA","0","1","0","0","3","0","35","8","1","3","48","2L1.2",2019
"197","11","2018","30","33","18","0","0","0","0","0","NA","0","1","0","0","1","0","57","34","0","8","2 61 673 699 777","2A3.5",2019
