"","SENTMON","SENTYR","SENSPLT0","GLMIN","TOTCHPTS","IS924C","WEAPSOC","STATMIN","CAROFFAP","ACCAP","SAFE","NEWCNVTN","PRESENT","MITROLHI","AGGROLHI","NEWRACE","MONSEX","AGE","EDUCATN","NEWCIT","BOOKERCD","reason","GDLINEHI","opafy","SENTRNGE"
"40181","6","2017","24","18","4","0","0","0","0","0","NA","0","1","0","0","3","0","37","5","1","0","","2L1.1",2017,NA
"40182","6","2017","6","10","6","0","0","0","0","0","NA","0","1","0","0","3","0","21","32","1","6","48","2L1.2",2017,NA
"40183","3","2017","470","9996","0","0","1","0","0","0","0","1","1","0","4","3","0","41","12","0","0","23 28 30","2S1.1",2017,NA
"40184","6","2017","6","1","2","0","0","0","0","0","NA","0","1","0","0","3","0","22","6","1","0","48","2L1.2",2017,NA
"40185","6","2017","0","0","NA","0","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","30","NA","1","0","","NA",2017,NA
"40186","6","2017","18","30","0","0","0","0","0","0","1","0","1","0","0","3","0","23","34","1","6","48","2D1.1",2017,NA
"40187","6","2017","168","168","0","0","0","120","0","0","1","0","1","0","0","3","0","36","37","1","0","","2D1.1",2017,NA
"40188","6","2017","7","1","2","0","0","0","0","0","NA","0","1","0","0","3","1","31","9","1","0","","2L1.2",2017,NA
"40189","6","2017","30","30","1","0","0","0","0","0","NA","0","1","0","0","1","0","33","9","0","0","","2K2.1",2017,NA
"40190","6","2017","7","1","3","0","0","0","0","0","NA","0","1","0","0","3","0","25","9","1","0","","2L1.2",2017,NA
"40191","10","2016","1.31","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","29","9","1","0","","2L1.2",2017,NA
"40192","6","2017","0","30","0","0","0","0","0","0","NA","0","2","0","0","1","0","43","12","0","5","19 2 1206 7 60 61 650 1200","2C1.1",2017,NA
"40193","6","2017","77","77","17","0","0","0","0","0","NA","0","1","0","0","1","0","29","8","0","0","","2K2.1",2017,NA
"40194","6","2017","57","57","7","0","0","0","0","0","NA","1","3","0","0","2","0","25","21","0","0","","2K2.1",2017,NA
"40195","6","2017","0","10","1","0","0","0","0","0","NA","0","2","0","0","1","0","48","12","0","5","19","2S1.3",2017,NA
"40196","6","2017","7","1","3","0","0","0","0","0","NA","0","1","0","0","3","0","25","9","1","0","","2L1.2",2017,NA
"40197","6","2017","45","39","5","0","0","24","0","0","NA","0","1","0","2","2","0","38","21","0","0","","2B1.1",2017,NA
"40198","6","2017","29","46","0","0","0","0","0","0","NA","0","1","0","0","2","0","53","16","1","5","19","2M5.2",2017,NA
"40199","6","2017","3","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","45","NA","1","0","","2L1.2",2017,NA
