"","SENTMON","SENTYR","SENSPLT0","GLMIN","TOTCHPTS","IS924C","WEAPSOC","STATMIN","CAROFFAP","ACCAP","SAFE","NEWCNVTN","PRESENT","MITROLHI","AGGROLHI","NEWRACE","MONSEX","AGE","EDUCATN","NEWCIT","SENTRNGE","reason","GDLINEHI","opafy"
"49","12","2020","46","46","6","0","0","0","0","0","NA","0","1","0","0","2","0","49","21","0","0","","2K2.1",2021
"50","12","2020","60","135","0","0","0","60","0","0","0","0","1","0","0","3","0","31","34","1","7","2 17 60 673 703 730 876","2D1.1",2021
"51","12","2020","24","24","4","0","0","0","0","0","NA","0","3","0","0","2","0","23","11","0","0","","2K2.1",2021
"52","12","2020","0","18","0","0","1","0","0","0","NA","0","2","0","0","3","0","20","11","0","3","48 11 17 61 1200 686","2L1.1",2021
"53","12","2020","78","108","0","0","1","0","0","0","0","0","1","0","4","2","0","32","34","1","7","2 1206 1211 60 686 826","2D1.1",2021
"54","12","2020","9.16","27","2","0","0","0","0","0","NA","0","1","0","0","1","0","23","9","0","2","19 2 3 11 1211 61 831","2K2.1",2021
"55","12","2020","48","63","16","0","0","0","0","0","NA","0","1","0","0","2","0","30","12","0","8","2 61 696 826 876","2K2.1",2021
"56","12","2020","0.03","27","3","0","0","0","0","0","NA","0","2","0","0","2","0","41","21","0","7","2 3 60","2K2.1",2021
"57","12","2020","3","4","NA","0","NA","NA","NA","NA","NA","0","NA","NA","NA","3","0","31","NA","1","8","876","NA",2021
"58","12","2020","120","120","13","0","0","120","0","0","0","0","1","-3","0","6","1","41","21","0","0","","2D1.1",2021
"59","10","2020","72","188","9","0","0","60","1","0","0","0","1","0","0","2","0","29","9","0","4","217 500 703","2D1.1",2021
"60","12","2020","2.96","0","NA","0","NA","NA","NA","NA","NA","0","NA","NA","NA","3","0","34","NA","1","0","","NA",2021
"61","12","2020","2.95","0","1","0","0","0","0","0","NA","0","1","0","0","3","0","19","5","1","0","","2L1.2",2021
"62","12","2020","12.85","27","10","0","0","0","0","0","NA","0","1","0","0","1","0","21","11","0","7","500","2K2.1",2021
"63","12","2020","0","0","0","0","0","0","0","0","NA","0","2","0","0","1","0","48","16","0","0","","2B1.1",2021
"64","12","2020","12.03","33","4","0","0","0","0","0","NA","0","1","0","0","3","0","60","NA","0","4","500","2L1.1",2021
"65","12","2020","56","151","9","0","0","0","0","0","0","0","1","0","0","1","0","43","10","0","2","19 1200 828","2D1.1",2021
"66","12","2020","132","188","17","0","1","120","0","0","0","0","1","0","0","1","0","37","12","0","2","19","2D1.1",2021
"67","12","2020","24","37","10","0","0","0","0","0","NA","0","1","0","0","3","0","26","8","1","3","48 11 60 876","2L1.2",2021
"68","12","2020","72","106","10","1","0","60","0","0","0","0","1","0","0","2","0","27","9","0","8","2 3 4 1200 60 61 1200 703 826","2D1.1",2021
"69","12","2020","0","12","0","0","0","0","0","0","NA","0","3","0","0","2","1","63","12","0","5","14 11 14 16 17 668","2S1.1",2021
"70","10","2020","180","180","26","0","0","180","0","1","NA","0","1","0","0","2","0","39","21","0","0","","2K2.1",2021
"71","12","2020","2.53","0","0","0","0","0","0","0","NA","0","1","0","0","3","1","22","NA","1","0","","2L2.2",2021
"72","12","2020","288","322","13","1","0","180","1","0","0","0","1","0","0","1","0","32","21","0","8","2 3 4 15 60 61 676 686 703 1205 823 826 876","2D1.1",2021
"73","12","2020","0","6","0","0","0","0","0","0","NA","0","2","0","0","3","0","37","22","0","7","500","2B1.1",2021
"74","12","2020","0","6","0","0","0","0","0","0","NA","0","2","0","0","3","1","73","12","0","7","500","2B1.1",2021
"75","12","2020","54","70","12","0","0","0","0","0","NA","0","1","0","0","2","0","44","32","0","8","11 61 676 826","2K2.1",2021
"76","12","2020","12.03","10","4","0","0","0","0","0","NA","0","1","0","0","3","0","47","9","1","0","","2L1.2",2021
"77","12","2020","34","30","8","0","0","0","0","0","NA","0","1","0","0","1","0","26","8","0","0","","2K2.1",2021
"78","12","2020","30","24","4","0","0","0","0","0","NA","0","1","0","0","3","0","26","12","0","0","","2L1.1",2021
"79","12","2020","13","24","0","0","0","0","0","0","NA","0","1","0","0","1","0","66","12","0","8","16 17 61","2K2.1",2021
"80","12","2020","84","151","10","0","0","0","1","0","0","0","1","0","0","2","0","30","12","0","7","2 3 1206 60 61 500 826","2D1.1",2021
"81","10","2020","96","151","16","0","0","0","0","0","NA","0","1","0","0","1","0","41","21","0","7","2 3 4 1206 60 61 62 64","2K2.1",2021
"82","12","2020","51","51","16","0","0","0","0","0","NA","0","1","0","0","1","0","37","21","0","0","","2K2.1",2021
"83","12","2020","10","12","0","0","0","0","0","0","NA","0","2","0","0","1","0","66","24","0","8","61","2B1.1",2021
"84","12","2020","60","78","2","0","0","60","0","0","0","0","3","0","0","2","0","30","34","0","4","14 60 61","2D1.1",2021
"85","12","2020","24","24","6","0","0","0","0","0","NA","0","1","0","0","3","0","33","10","1","0","","2L1.2",2021
"86","12","2020","24","30","6","0","0","0","0","0","NA","0","1","0","0","3","0","32","6","1","8","2 17 61","2L1.2",2021
"87","12","2020","120","151","0","0","0","60","0","0","NA","0","1","0","0","2","0","24","11","0","8","1206 1211 60 61 673 703 1209 830 839","2G2.2",2021
"88","12","2020","4.27","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","27","32","1","0","48","2L2.2",2021
"89","12","2020","48","75","0","0","0","24","0","0","NA","0","1","0","0","1","0","26","21","1","2","19 2 3 1206 7 60 61 652 876","2B1.1",2021
"90","12","2020","120","151","14","0","1","120","0","0","0","0","1","-2","0","1","0","29","21","0","2","19 15 60 61 1202","2D1.1",2021
"91","12","2020","68","57","0","0","0","120","0","0","1","0","1","0","0","1","0","65","23","0","0","","2D1.1",2021
"92","10","2020","57","57","5","0","1","0","0","0","NA","0","1","0","0","1","0","49","21","0","0","","2B3.1",2021
"93","12","2020","0.89","0","NA","0","NA","0","NA","NA","NA","0","1","NA","NA","3","0","25","NA","1","0","","NA",2021
"94","12","2020","30","57","0","0","0","0","0","0","1","0","1","0","0","3","0","27","34","1","7","2 3 4 1206 11 14 60 61","2D1.1",2021
