"","SENTMON","SENTYR","SENSPLT0","GLMIN","TOTCHPTS","IS924C","WEAPSOC","STATMIN","CAROFFAP","ACCAP","SAFE","NEWCNVTN","PRESENT","MITROLHI","AGGROLHI","NEWRACE","MONSEX","AGE","EDUCATN","NEWCIT","SENTRNGE","reason","GDLINEHI","opafy"
"1","10","2019","6","6","0","0","0","0","0","0","NA","0","1","0","0","2","0","23","21","0","0","","2B1.1",2020
"2","10","2019","4.11","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","33","6","1","0","","2L1.2",2020
"3","10","2019","470","9996","10","0","1","9996","0","0","0","0","1","0","4","2","0","28","31","0","0","","2D1.1",2020
"4","10","2019","24","24","4","0","0","0","0","0","NA","0","1","0","0","1","0","37","5","1","0","","2L1.2",2020
"5","11","2019","51","97","3","0","0","120","0","0","2","0","1","-2","0","2","0","21","34","0","3","48 875","2D1.1",2020
"6","11","2019","365","324","4","0","0","240","0","0","0","0","1","0","0","2","0","36","23","1","0","","2D1.1",2020
"7","12","2019","15","15","1","0","0","0","0","0","NA","1","1","0","0","3","0","25","11","1","0","","2K2.1",2020
"8","11","2019","26","41","17","0","0","0","0","0","NA","0","1","0","0","1","0","38","34","0","4","500","2K2.1",2020
"9","11","2019","12.03","8","2","0","0","0","0","0","NA","0","1","0","0","2","0","21","12","0","0","","2K2.1",2020
"10","11","2019","34","78","0","0","0","0","0","0","NA","0","1","0","0","1","0","56","24","0","7","3 1206 1211 15 1200 61 676 1200 831 861","2G2.2",2020
"11","11","2019","57","70","0","0","1","120","0","0","1","0","2","0","0","1","0","40","12","0","8","2 3 4 15 16 17 60 676 777","2D1.1",2020
"12","11","2019","0.03","1","2","0","0","0","0","0","NA","0","NA","0","0","3","0","29","NA","1","0","","2L1.2",2020
"13","11","2019","15","18","5","0","0","0","0","0","NA","0","1","0","0","3","0","44","3","1","3","48","2L1.2",2020
"14","11","2019","120","121","7","0","1","120","0","0","0","0","1","0","0","1","0","44","9","0","7","2 3 4","2D1.1",2020
"15","10","2019","36","70","0","0","0","0","0","0","NA","0","1","0","0","1","0","76","23","0","7","2 3 4 1206 7 60 61 64 673 741","2G2.2",2020
"16","10","2019","1.61","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","37","NA","1","0","","2L1.2",2020
"17","12","2019","18","51","0","0","0","60","0","0","1","0","2","-2","0","1","1","27","34","0","3","48 676","2D1.1",2020
"18","12","2019","18","24","5","0","0","0","0","0","NA","0","1","0","0","3","0","44","21","1","3","48","2L1.2",2020
"19","12","2019","0","4","2","0","0","0","0","0","NA","0","2","0","0","1","0","55","34","0","8","1205","2B1.1",2020
"20","11","2019","1.97","0","1","0","0","0","0","0","NA","0","1","0","0","3","0","29","NA","1","0","","2L1.2",2020
"21","11","2019","18","27","0","0","0","0","0","0","NA","0","2","-2","0","3","1","20","34","0","3","48 11 204","2L1.1",2020
"22","11","2019","0.46","12","3","0","0","0","0","0","NA","0","2","0","0","3","0","59","8","0","8","1205","2K2.1",2020
"23","11","2019","6","6","4","0","0","0","0","0","NA","0","1","0","0","3","0","29","6","1","0","","2L1.2",2020
"24","12","2019","0","0","2","0","0","0","0","0","0","0","2","0","0","1","0","44","12","0","0","","2D1.1",2020
"25","11","2019","24","24","4","0","0","0","0","0","NA","0","1","0","0","3","0","30","NA","1","0","","2L1.2",2020
"26","10","2019","18","18","6","0","0","0","0","0","NA","0","1","0","0","1","0","33","21","0","0","","2A3.5",2020
"27","11","2019","252","360","6","0","1","120","1","0","0","0","1","0","4","1","0","37","32","0","2","19","2D1.1",2020
"28","10","2019","27","27","2","0","0","0","0","0","NA","0","2","0","0","3","0","38","22","0","0","","2K2.1",2020
